Unique Identifier,Facility,Facility Key,Market Key,Market,Region Key,Region
Kansas - Strotherfield,Strotherfield,STR,CEN_KS,Kansas,R_CEN,Central
Arizona - Sierra Vista,Sierra Vista,SVA,SW_AZ,Arizona,R_SW,Southwest
Northern Va - Tysons,Tysons,TCR,VA_NVA,Northern Va,R_VA,Virginia
Las Vegas - North West,North West,TEN,SW_LV,Las Vegas,R_SW,Southwest
Kansas - Topeka,Topeka,TOP,CEN_KS,Kansas,R_CEN,Central
Kansas - Towanda,Towanda,TOW,CEN_KS,Kansas,R_CEN,Central
Arizona - Tucson,Tucson,TUC,SW_AZ,Arizona,R_SW,Southwest
Tulsa - Local - MTC,Local - MTC,TUL,CEN_TLSA,Tulsa,R_CEN,Central
Hampton Roads - Virginia Beach,Virginia Beach,VBC,VA_HTR,Hampton Roads,R_VA,Virginia
NW Arkansas - Van Buren,Van Buren,VBN,CEN_NWA,NW Arkansas,R_CEN,Central
Las Vegas - North East,North East,VLY,SW_LV,Las Vegas,R_SW,Southwest
Arizona - Vistancia,Vistancia,VSA,SW_AZ,Arizona,R_SW,Southwest
San Diego - Vista,Vista,VST,CA_SD,San Diego,R_CA,California
Oklahoma City - West,West,WEH,CEN_OKC,Oklahoma City,R_CEN,Central
Omaha - West,West,WES,CEN_OMH,Omaha,R_CEN,Central
Kansas - Wichita,Wichita,WIC,CEN_KS,Kansas,R_CEN,Central
Oklahoma City - Waterloo,Waterloo,WLH,CEN_OKC,Oklahoma City,R_CEN,Central
Macon - Warner Robins,Warner Robins,WRB,SE_MC,Macon,R_SE,Southeast
Tulsa - West,West,WST,CEN_TLSA,Tulsa,R_CEN,Central
Rhode Island - West Warwick,West Warwick,WWK,NE_RI,Rhode Island,R_NE,New England
Arizona - Douglas,Douglas,DGL,SW_AZ,Arizona,R_SW,Southwest
Arizona - Wickenburg,Wickenburg,WKB,SW_AZ,Arizona,R_SW,Southwest
